AREA CODE,CITY,STATE/PROVINCE,STATE/PROVINCE ABBREVIATION,COUNTY,COUNTY FIPS
201,Jersey City,New Jersey,NJ,HUDSON,34017
201,Hackensack,New Jersey,NJ,BERGEN,34003
202,Washington,District of Columbia,DC,DISTRICT OF COLUMBIA,11001
203,Bridgeport,Connecticut,CT,FAIRFIELD,09001
203,Stamford,Connecticut,CT,FAIRFIELD,09001
203,Waterbury,Connecticut,CT,NEW HAVEN,09009
203,New Haven,Connecticut,CT,NEW HAVEN,09009
203,Danbury,Connecticut,CT,FAIRFIELD,09001
203,Norwalk,Connecticut,CT,FAIRFIELD,09001
204,Winnipeg,Manitoba,MB,#N/A,#N/A
205,Birmingham,Alabama,AL,JEFFERSON,01073
205,Tuscaloosa,Alabama,AL,TUSCALOOSA,01125
206,Seattle,Washington,WA,KING,48269
206,Bainbridge Island,Washington,WA,KITSAP,53035
207,Portland,Maine,ME,CUMBERLAND,17035
207,Lewiston,Maine,ME,ANDROSCOGGIN,23001
207,Rumford,Maine,ME,OXFORD,23017
207,Augusta,Maine,ME,KENNEBEC,23011
207,Millinocket,Maine,ME,PENOBSCOT,23019
207,Calais,Maine,ME,WASHINGTON,01129
207,Presque Isle,Maine,ME,AROOSTOOK,23003
207,Bangor,Maine,ME,PENOBSCOT,23019
208,Boise,Idaho,ID,ADA,16001
208,Coeur D'alene,Idaho,ID,#N/A,#N/A
208,Lewiston,Idaho,ID,NEZ PERCE,16069
208,Twin Falls,Idaho,ID,TWIN FALLS,16083
208,Idaho Falls,Idaho,ID,BONNEVILLE,16019
208,Pocatello,Idaho,ID,BANNOCK,16005
209,Merced,California,CA,MERCED,06047
209,Modesto,California,CA,STANISLAUS,06099
209,Stockton,California,CA,SAN JOAQUIN,06077
209,Yosemite,California,CA,#N/A,#N/A
210,San Antonio,Texas,TX,BEXAR,48029
210,Alamo,Texas,TX,HIDALGO,35023
212,New York City,New York,NY,#N/A,#N/A
212,Manhattan,New York,NY,#N/A,#N/A
213,Los Angeles,California,CA,LOS ANGELES,06037
214,Dallas,Texas,TX,DALLAS,01047
214,Plano,Texas,TX,COLLIN,48085
215,Philadelphia,Pennsylvania,PA,PHILADELPHIA,42101
216,Cleveland,Ohio,OH,CUYAHOGA,39035
216,Euclid,Ohio,OH,CUYAHOGA,39035
216,Lakewood,Ohio,OH,CUYAHOGA,39035
217,Champaign,Illinois,IL,CHAMPAIGN,17019
217,Springfield,Illinois,IL,SANGAMON,17167
217,Decatur,Illinois,IL,MACON,01087
218,Duluth,Minnesota,MN,SAINT LOUIS,#N/A
218,International Falls,Minnesota,MN,KOOCHICHING,27071
218,Thief River Falls,Minnesota,MN,PENNINGTON,27113
218,Virginia,Minnesota,MN,SAINT LOUIS,#N/A
218,Grand Rapids,Minnesota,MN,ITASCA,27061
218,Brainerd,Minnesota,MN,CROW WING,27035
219,Gary,Indiana,IN,LAKE,06033
219,South Bend,Indiana,IN,ST JOSEPH,#N/A
219,Fort Wayne,Indiana,IN,ALLEN,18003
219,Hammond,Indiana,IN,LAKE,06033
219,Warsaw,Indiana,IN,KOSCIUSKO,18085
225,New Roads,Louisiana,LA,POINTE COUPEE,#N/A
225,Baton Rouge,Louisiana,LA,EAST BATON ROUGE,#N/A
228,Gulfport,Mississippi,MS,HARRISON,18061
228,Biloxi,Mississippi,MS,HARRISON,18061
228,Pascagoula,Mississippi,MS,JACKSON,01071
229,Americus,Georgia,GA,SUMTER,01119
229,Albany,Georgia,GA,DOUGHERTY,13095
229,Bainbridge,Georgia,GA,DECATUR,13087
229,Valdosta,Georgia,GA,LOWNDES,01085
231,Petoskey,Michigan,MI,EMMET,19063
231,Traverse City,Michigan,MI,GRAND TRAVERSE,26055
231,Ludington,Michigan,MI,MASON,17125
